iter,after_test,test_sec,gap_sec,stale_bs_test
1,bs_test_reload_per_batch_parallel_exec,0.06,0,
1,bs_test_day19_stress_reload_loop,25.05,0.004,
1,bs_test_day19_stress_fail_ci,25.05,0.002,
1,bs_test_attach_day19_shortcoming_regression,5.78,0.001,
1,bs_test_attach_recover_cold,6.85,0.001,
2,bs_test_reload_per_batch_parallel_exec,0.05,0,
2,bs_test_day19_stress_reload_loop,25.05,0.004,
2,bs_test_day19_stress_fail_ci,25.05,0.001,
2,bs_test_attach_day19_shortcoming_regression,6.47,0.001,
2,bs_test_attach_recover_cold,0.09,0.001,
3,bs_test_reload_per_batch_parallel_exec,0.06,0,
3,bs_test_day19_stress_reload_loop,25.06,0.003,
3,bs_test_day19_stress_fail_ci,25.06,0,
3,bs_test_attach_day19_shortcoming_regression,5.62,0.001,
3,bs_test_attach_recover_cold,0.06,0.001,
4,bs_test_reload_per_batch_parallel_exec,0.04,0,
4,bs_test_day19_stress_reload_loop,25.05,0,
4,bs_test_day19_stress_fail_ci,25.05,0.001,
4,bs_test_attach_day19_shortcoming_regression,6,0.001,
4,bs_test_attach_recover_cold,0.06,0.002,
5,bs_test_reload_per_batch_parallel_exec,0.04,0,
5,bs_test_day19_stress_reload_loop,25.05,0.001,
5,bs_test_day19_stress_fail_ci,25.06,0,
5,bs_test_attach_day19_shortcoming_regression,6.75,0.001,
5,bs_test_attach_recover_cold,0.06,0,
6,bs_test_reload_per_batch_parallel_exec,0.04,0,
6,bs_test_day19_stress_reload_loop,25.16,0.001,
6,bs_test_day19_stress_fail_ci,25.05,0.001,
6,bs_test_attach_day19_shortcoming_regression,5.49,0.001,
6,bs_test_attach_recover_cold,0.06,0,
7,bs_test_reload_per_batch_parallel_exec,0.04,0,
7,bs_test_day19_stress_reload_loop,25.05,0.001,
7,bs_test_day19_stress_fail_ci,25.05,0.001,
7,bs_test_attach_day19_shortcoming_regression,6.87,0,
7,bs_test_attach_recover_cold,0.08,0.001,
8,bs_test_reload_per_batch_parallel_exec,0.04,0,
8,bs_test_day19_stress_reload_loop,25.04,0.001,
8,bs_test_day19_stress_fail_ci,25.05,0.001,
8,bs_test_attach_day19_shortcoming_regression,5.1,0.001,
8,bs_test_attach_recover_cold,0.07,0.002,
9,bs_test_reload_per_batch_parallel_exec,0.04,0,
9,bs_test_day19_stress_reload_loop,25.05,0.001,
9,bs_test_day19_stress_fail_ci,25.05,0.001,
9,bs_test_attach_day19_shortcoming_regression,5.47,0.001,
9,bs_test_attach_recover_cold,0.08,0.001,
10,bs_test_reload_per_batch_parallel_exec,0.06,0,
10,bs_test_day19_stress_reload_loop,25.05,0.001,
10,bs_test_day19_stress_fail_ci,25.06,0.001,
10,bs_test_attach_day19_shortcoming_regression,6.82,0,
10,bs_test_attach_recover_cold,0.06,0.001,
11,bs_test_reload_per_batch_parallel_exec,0.04,0,
11,bs_test_day19_stress_reload_loop,25.05,0,
11,bs_test_day19_stress_fail_ci,25.05,0.001,
11,bs_test_attach_day19_shortcoming_regression,5.72,0.001,
11,bs_test_attach_recover_cold,0.06,0,
12,bs_test_reload_per_batch_parallel_exec,0.04,0,
12,bs_test_day19_stress_reload_loop,25.05,0.001,
12,bs_test_day19_stress_fail_ci,25.05,0,
12,bs_test_attach_day19_shortcoming_regression,5.44,0.001,
12,bs_test_attach_recover_cold,0.06,0.001,
13,bs_test_reload_per_batch_parallel_exec,0.04,0,
13,bs_test_day19_stress_reload_loop,25.05,0.001,
13,bs_test_day19_stress_fail_ci,25.05,0.001,
13,bs_test_attach_day19_shortcoming_regression,5.53,0.001,
13,bs_test_attach_recover_cold,0.06,0,
14,bs_test_reload_per_batch_parallel_exec,0.04,0,
14,bs_test_day19_stress_reload_loop,25.05,0,
14,bs_test_day19_stress_fail_ci,25.05,0.001,
14,bs_test_attach_day19_shortcoming_regression,5.1,0.001,
14,bs_test_attach_recover_cold,0.06,0.001,
15,bs_test_reload_per_batch_parallel_exec,0.04,0,
15,bs_test_day19_stress_reload_loop,25.05,0,
15,bs_test_day19_stress_fail_ci,25.04,0.002,
15,bs_test_attach_day19_shortcoming_regression,6.05,0,
15,bs_test_attach_recover_cold,0.06,0.001,
16,bs_test_reload_per_batch_parallel_exec,0.05,0,
16,bs_test_day19_stress_reload_loop,25.05,0.002,
16,bs_test_day19_stress_fail_ci,25.06,0.001,
16,bs_test_attach_day19_shortcoming_regression,5.99,0.001,
16,bs_test_attach_recover_cold,0.06,0.001,
17,bs_test_reload_per_batch_parallel_exec,0.04,0,
17,bs_test_day19_stress_reload_loop,25.04,0,
